ID,FICO_Score,Dataset_Name,Model_Name,Sampling_Technique
0,900,merged_payment_customer_data.csv,Decision Tree,
1,900,merged_payment_customer_data.csv,Decision Tree,
2,900,merged_payment_customer_data.csv,Decision Tree,
3,900,merged_payment_customer_data.csv,Decision Tree,
4,900,merged_payment_customer_data.csv,Decision Tree,
5,300,merged_payment_customer_data.csv,Decision Tree,
6,900,merged_payment_customer_data.csv,Decision Tree,
7,900,merged_payment_customer_data.csv,Decision Tree,
8,900,merged_payment_customer_data.csv,Decision Tree,
9,900,merged_payment_customer_data.csv,Decision Tree,
10,900,merged_payment_customer_data.csv,Decision Tree,
11,300,merged_payment_customer_data.csv,Decision Tree,
12,900,merged_payment_customer_data.csv,Decision Tree,
13,900,merged_payment_customer_data.csv,Decision Tree,
14,900,merged_payment_customer_data.csv,Decision Tree,
15,900,merged_payment_customer_data.csv,Decision Tree,
16,900,merged_payment_customer_data.csv,Decision Tree,
17,300,merged_payment_customer_data.csv,Decision Tree,
18,900,merged_payment_customer_data.csv,Decision Tree,
19,900,merged_payment_customer_data.csv,Decision Tree,
20,900,merged_payment_customer_data.csv,Decision Tree,
21,900,merged_payment_customer_data.csv,Decision Tree,
22,900,merged_payment_customer_data.csv,Decision Tree,
23,900,merged_payment_customer_data.csv,Decision Tree,
24,900,merged_payment_customer_data.csv,Decision Tree,
25,300,merged_payment_customer_data.csv,Decision Tree,
26,900,merged_payment_customer_data.csv,Decision Tree,
27,900,merged_payment_customer_data.csv,Decision Tree,
28,900,merged_payment_customer_data.csv,Decision Tree,
29,900,merged_payment_customer_data.csv,Decision Tree,
30,900,merged_payment_customer_data.csv,Decision Tree,
31,900,merged_payment_customer_data.csv,Decision Tree,
32,900,merged_payment_customer_data.csv,Decision Tree,
33,300,merged_payment_customer_data.csv,Decision Tree,
34,900,merged_payment_customer_data.csv,Decision Tree,
35,900,merged_payment_customer_data.csv,Decision Tree,
36,900,merged_payment_customer_data.csv,Decision Tree,
37,900,merged_payment_customer_data.csv,Decision Tree,
38,900,merged_payment_customer_data.csv,Decision Tree,
39,900,merged_payment_customer_data.csv,Decision Tree,
40,900,merged_payment_customer_data.csv,Decision Tree,
41,900,merged_payment_customer_data.csv,Decision Tree,
42,300,merged_payment_customer_data.csv,Decision Tree,
43,900,merged_payment_customer_data.csv,Decision Tree,
44,900,merged_payment_customer_data.csv,Decision Tree,
45,900,merged_payment_customer_data.csv,Decision Tree,
46,900,merged_payment_customer_data.csv,Decision Tree,
47,900,merged_payment_customer_data.csv,Decision Tree,
48,900,merged_payment_customer_data.csv,Decision Tree,
49,900,merged_payment_customer_data.csv,Decision Tree,
50,300,merged_payment_customer_data.csv,Decision Tree,
51,300,merged_payment_customer_data.csv,Decision Tree,
52,900,merged_payment_customer_data.csv,Decision Tree,
53,900,merged_payment_customer_data.csv,Decision Tree,
54,900,merged_payment_customer_data.csv,Decision Tree,
55,900,merged_payment_customer_data.csv,Decision Tree,
56,900,merged_payment_customer_data.csv,Decision Tree,
57,300,merged_payment_customer_data.csv,Decision Tree,
58,900,merged_payment_customer_data.csv,Decision Tree,
59,900,merged_payment_customer_data.csv,Decision Tree,
60,900,merged_payment_customer_data.csv,Decision Tree,
61,300,merged_payment_customer_data.csv,Decision Tree,
62,900,merged_payment_customer_data.csv,Decision Tree,
63,900,merged_payment_customer_data.csv,Decision Tree,
64,900,merged_payment_customer_data.csv,Decision Tree,
65,900,merged_payment_customer_data.csv,Decision Tree,
66,900,merged_payment_customer_data.csv,Decision Tree,
67,300,merged_payment_customer_data.csv,Decision Tree,
68,300,merged_payment_customer_data.csv,Decision Tree,
69,300,merged_payment_customer_data.csv,Decision Tree,
70,900,merged_payment_customer_data.csv,Decision Tree,
71,900,merged_payment_customer_data.csv,Decision Tree,
72,900,merged_payment_customer_data.csv,Decision Tree,
73,900,merged_payment_customer_data.csv,Decision Tree,
74,300,merged_payment_customer_data.csv,Decision Tree,
75,900,merged_payment_customer_data.csv,Decision Tree,
76,900,merged_payment_customer_data.csv,Decision Tree,
77,900,merged_payment_customer_data.csv,Decision Tree,
78,900,merged_payment_customer_data.csv,Decision Tree,
79,900,merged_payment_customer_data.csv,Decision Tree,
80,300,merged_payment_customer_data.csv,Decision Tree,
81,900,merged_payment_customer_data.csv,Decision Tree,
82,900,merged_payment_customer_data.csv,Decision Tree,
83,300,merged_payment_customer_data.csv,Decision Tree,
84,300,merged_payment_customer_data.csv,Decision Tree,
85,900,merged_payment_customer_data.csv,Decision Tree,
86,900,merged_payment_customer_data.csv,Decision Tree,
87,900,merged_payment_customer_data.csv,Decision Tree,
88,900,merged_payment_customer_data.csv,Decision Tree,
89,900,merged_payment_customer_data.csv,Decision Tree,
90,900,merged_payment_customer_data.csv,Decision Tree,
91,900,merged_payment_customer_data.csv,Decision Tree,
92,900,merged_payment_customer_data.csv,Decision Tree,
93,900,merged_payment_customer_data.csv,Decision Tree,
94,900,merged_payment_customer_data.csv,Decision Tree,
95,900,merged_payment_customer_data.csv,Decision Tree,
96,900,merged_payment_customer_data.csv,Decision Tree,
97,900,merged_payment_customer_data.csv,Decision Tree,
98,300,merged_payment_customer_data.csv,Decision Tree,
99,900,merged_payment_customer_data.csv,Decision Tree,
100,300,merged_payment_customer_data.csv,Decision Tree,
101,900,merged_payment_customer_data.csv,Decision Tree,
102,900,merged_payment_customer_data.csv,Decision Tree,
103,900,merged_payment_customer_data.csv,Decision Tree,
104,900,merged_payment_customer_data.csv,Decision Tree,
105,900,merged_payment_customer_data.csv,Decision Tree,
106,300,merged_payment_customer_data.csv,Decision Tree,
107,300,merged_payment_customer_data.csv,Decision Tree,
108,900,merged_payment_customer_data.csv,Decision Tree,
109,900,merged_payment_customer_data.csv,Decision Tree,
110,900,merged_payment_customer_data.csv,Decision Tree,
111,900,merged_payment_customer_data.csv,Decision Tree,
112,900,merged_payment_customer_data.csv,Decision Tree,
113,900,merged_payment_customer_data.csv,Decision Tree,
114,900,merged_payment_customer_data.csv,Decision Tree,
115,900,merged_payment_customer_data.csv,Decision Tree,
116,900,merged_payment_customer_data.csv,Decision Tree,
117,900,merged_payment_customer_data.csv,Decision Tree,
118,900,merged_payment_customer_data.csv,Decision Tree,
119,900,merged_payment_customer_data.csv,Decision Tree,
120,900,merged_payment_customer_data.csv,Decision Tree,
121,900,merged_payment_customer_data.csv,Decision Tree,
122,900,merged_payment_customer_data.csv,Decision Tree,
123,300,merged_payment_customer_data.csv,Decision Tree,
124,900,merged_payment_customer_data.csv,Decision Tree,
125,300,merged_payment_customer_data.csv,Decision Tree,
126,300,merged_payment_customer_data.csv,Decision Tree,
127,900,merged_payment_customer_data.csv,Decision Tree,
128,900,merged_payment_customer_data.csv,Decision Tree,
129,900,merged_payment_customer_data.csv,Decision Tree,
130,900,merged_payment_customer_data.csv,Decision Tree,
131,900,merged_payment_customer_data.csv,Decision Tree,
132,900,merged_payment_customer_data.csv,Decision Tree,
133,900,merged_payment_customer_data.csv,Decision Tree,
134,300,merged_payment_customer_data.csv,Decision Tree,
135,900,merged_payment_customer_data.csv,Decision Tree,
136,900,merged_payment_customer_data.csv,Decision Tree,
137,900,merged_payment_customer_data.csv,Decision Tree,
